STATUS | wrapper  | 2014/06/23 17:25:47 | --> Wrapper Started as Console
STATUS | wrapper  | 2014/06/23 17:25:47 | Java Service Wrapper Community Edition 64-bit 3.5.14
STATUS | wrapper  | 2014/06/23 17:25:47 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/06/23 17:25:47 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/06/23 17:25:47 | 
STATUS | wrapper  | 2014/06/23 17:25:47 | Launching a JVM...
INFO   | jvm 1    | 2014/06/23 17:25:48 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/06/23 17:25:48 | WrapperSimpleApp Error: Class org.elasticsearch.bootstrap.ElasticsearchF found but could not be initialized: java.lang.UnsupportedClassVersionError: org/elasticsearch/bootstrap/ElasticsearchF : Unsupported major.minor version 51.0
ERROR  | wrapper  | 2014/06/23 17:25:50 | JVM exited while loading the application.
STATUS | wrapper  | 2014/06/23 17:25:54 | Launching a JVM...
INFO   | jvm 2    | 2014/06/23 17:25:55 | WrapperManager: Initializing...
INFO   | jvm 2    | 2014/06/23 17:25:55 | WrapperSimpleApp Error: Class org.elasticsearch.bootstrap.ElasticsearchF found but could not be initialized: java.lang.UnsupportedClassVersionError: org/elasticsearch/bootstrap/ElasticsearchF : Unsupported major.minor version 51.0
ERROR  | wrapper  | 2014/06/23 17:25:56 | JVM exited while loading the application.
STATUS | wrapper  | 2014/06/23 17:26:01 | Launching a JVM...
INFO   | jvm 3    | 2014/06/23 17:26:01 | WrapperManager: Initializing...
INFO   | jvm 3    | 2014/06/23 17:26:02 | WrapperSimpleApp Error: Class org.elasticsearch.bootstrap.ElasticsearchF found but could not be initialized: java.lang.UnsupportedClassVersionError: org/elasticsearch/bootstrap/ElasticsearchF : Unsupported major.minor version 51.0
ERROR  | wrapper  | 2014/06/23 17:26:03 | JVM exited while loading the application.
STATUS | wrapper  | 2014/06/23 17:26:07 | INT trapped.  Shutting down.
STATUS | wrapper  | 2014/06/23 17:26:07 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/06/23 17:26:13 | --> Wrapper Started as Console
STATUS | wrapper  | 2014/06/23 17:26:13 | Java Service Wrapper Community Edition 64-bit 3.5.14
STATUS | wrapper  | 2014/06/23 17:26:13 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/06/23 17:26:13 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/06/23 17:26:13 | 
STATUS | wrapper  | 2014/06/23 17:26:13 | Launching a JVM...
INFO   | jvm 1    | 2014/06/23 17:26:14 | WrapperManager: Initializing...
